biome,120,60,10,6,2,1
badlands,1x gold_nugget,3x terracotta,1x raw_gold,1x gold_ore,1x raw_gold_block,1x raw_gold_block
eroded_badlands,1x gold_nugget,3x terracotta,1x raw_gold,1x gold_ore,1x raw_gold_block,1x raw_gold_block
beach,1x sand,1x sand,1x scute,1x scute,1x heart_of_the_sea,1x heart_of_the_sea
snowy_beach,1x sand,1x sand,1x scute,1x scute,1x heart_of_the_sea,1x heart_of_the_sea
deep_cold_ocean,3x kelp,3x kelp,1x prismarine_shard,1x prismarine_crystals,1x sponge,1x sponge
deep_lukewarm_ocean,3x kelp,3x kelp,1x prismarine_shard,1x prismarine_crystals,1x sponge,1x sponge
deep_ocean,3x kelp,3x kelp,1x prismarine_shard,1x prismarine_crystals,1x sponge,1x sponge
desert,3x stick,3x cactus,1x bone_block,1x bone_block,1x dune_armor_trim_smithing_template,1x dune_armor_trim_smithing_template
end_barrens,1x end_stone,1x end_stone,3x end_stone,3x end_stone,1x eye_armor_trim_smithing_template,1x eye_armor_trim_smithing_template
the_end,3x ender_pearl,3x ender_pearl,1x obsidian,1x obsidian,1x end_crystal,1x end_crystal
end_midlands,3x popped_chorus_fruit,3x popped_chorus_fruit,1x shulker_shell,1x shulker_shell,1x spire_armor_trim_smithing_template,1x elytra
end_highlands,3x chorus_fruit,3x chorus_fruit,1x chorus_flower,1x chorus_flower,1x spire_armor_trim_smithing_template,1x elytra
small_end_islands,1x phantom_membrane,1x phantom_membrane,3x phantom_membrane,3x phantom_membrane,1x dragon_egg,1x dragon_egg
birch_forest,3x apple,3x apple,1x golden_apple,1x golden_apple,1x enchanted_golden_apple,1x enchanted_golden_apple
cherry_grove,2x pink_petals,2x pink_petals,2x pink_wool,2x pink_concrete_powder,2x pink_glazed_terracotta,2x pink_glazed_terracotta
dark_forest,2x bone,2x rotten_flesh,3x cobweb,3x cobweb,1x totem_of_undying,1x vex_armor_trim_smithing_template
flower_forest,3x apple,3x apple,3x lily_of_the_valley,1x bee_nest,1x bee_nest,1x bee_nest
forest,3x apple,3x apple,1x golden_apple,1x golden_apple,1x enchanted_golden_apple,1x enchanted_golden_apple
old_growth_birch_forest,3x apple,3x apple,1x golden_apple,1x golden_apple,1x enchanted_golden_apple,1x enchanted_golden_apple
old_growth_pine_taiga,3x apple,3x apple,1x golden_apple,1x golden_apple,1x enchanted_golden_apple,1x enchanted_golden_apple
old_growth_spruce_taiga,3x apple,3x apple,1x golden_apple,1x golden_apple,1x enchanted_golden_apple,1x enchanted_golden_apple
taiga,3x apple,3x apple,1x golden_apple,1x golden_apple,1x enchanted_golden_apple,1x enchanted_golden_apple
windswept_forest,3x apple,3x apple,1x golden_apple,1x golden_apple,1x enchanted_golden_apple,1x enchanted_golden_apple
wooded_badlands,3x apple,3x stick,2x raw_gold,1x gold_ore,1x raw_gold_block,1x raw_gold_block
deep_frozen_ocean,3x packed_ice,3x packed_ice,3x blue_ice,3x blue_ice,21x blue_ice,21x blue_ice
frozen_peaks,3x packed_ice,3x packed_ice,3x blue_ice,3x blue_ice,21x blue_ice,21x blue_ice
ice_spikes,3x packed_ice,3x packed_ice,3x blue_ice,3x blue_ice,21x blue_ice,21x blue_ice
frozen_ocean,3x packed_ice,3x packed_ice,3x blue_ice,3x blue_ice,21x blue_ice,21x blue_ice
bamboo_jungle,3x melon_slice,3x melon_slice,3x melon_slice,1x slime_ball,1x wild_armor_trim_smithing_template,1x wild_armor_trim_smithing_template
jungle,3x cocoa_beans,3x cocoa_beans,3x melon_slice,1x mossy_cobblestone,1x wild_armor_trim_smithing_template,1x wild_armor_trim_smithing_template
sparse_jungle,3x cocoa_beans,3x cocoa_beans,3x melon_slice,1x mossy_cobblestone,1x wild_armor_trim_smithing_template,1x wild_armor_trim_smithing_template
jagged_peaks,1x coal,1x coal,1x emerald,1x emerald_ore,1x goat_horn,1x goat_horn
stony_peaks,1x coal,1x coal,1x emerald,1x emerald_ore,1x goat_horn,1x goat_horn
snowy_slopes,1x coal,1x coal,1x emerald,1x emerald_ore,1x goat_horn,1x goat_horn
grove,1x coal,1x coal,1x emerald,1x emerald_ore,1x goat_horn,1x goat_horn
mushroom_fields,3x brown_mushroom,3x red_mushroom,3x mycelium,3x mycelium,1x brown_mooshroom_spawn_egg,1x brown_mooshroom_spawn_egg
basalt_deltas,1x quartz,1x brown_mushroom,1x magma_cream,1x ghast_tear,1x rib_armor_trim_smithing_template,1x ancient_debris
nether_wastes,1x quartz,1x brown_mushroom,1x magma_cream,1x ghast_tear,1x rib_armor_trim_smithing_template,1x ancient_debris
soul_sand_valley,1x quartz,1x brown_mushroom,1x magma_cream,1x ghast_tear,1x rib_armor_trim_smithing_template,1x ancient_debris
crimson_forest,3x crimson_fungus,3x crimson_fungus,1x shroomlight,3x glowstone_dust,1x rib_armor_trim_smithing_template,1x ancient_debris
warped_forest,3x warped_fungus,3x warped_fungus,1x shroomlight,3x glowstone_dust,1x rib_armor_trim_smithing_template,1x ancient_debris
cold_ocean,2x sand,2x gravel,1x leather,1x nautilus_shell,1x coast_armor_trim_smithing_template,1x coast_armor_trim_smithing_template
lukewarm_ocean,2x sand,2x gravel,1x leather,1x nautilus_shell,1x coast_armor_trim_smithing_template,1x coast_armor_trim_smithing_template
ocean,2x sand,2x gravel,1x leather,1x nautilus_shell,1x coast_armor_trim_smithing_template,1x coast_armor_trim_smithing_template
warm_ocean,1x sea_pickle,1x sea_pickle,1x tube_coral_block,1x bubble_coral_block,1x coast_armor_trim_smithing_template,1x sniffer_egg
meadow,3x wheat,1x apple,2x feather,3x pumpkin_seeds,3x pumpkin_seeds,1x sentry_armor_trim_smithing_template
plains,3x wheat,1x apple,2x feather,3x pumpkin_seeds,3x pumpkin_seeds,1x sentry_armor_trim_smithing_template
sunflower_plains,3x wheat,1x apple,2x feather,3x pumpkin_seeds,3x pumpkin_seeds,1x sentry_armor_trim_smithing_template
frozen_river,3x wheat,1x apple,2x feather,3x pumpkin_seeds,3x pumpkin_seeds,1x sentry_armor_trim_smithing_template
river,3x seagrass,3x clay_ball,2x leather,2x rotten_flesh,2x rotten_flesh,1x trident
windswept_gravelly_hills,1x raw_copper,1x raw_copper,3x coal,1x emerald,3x emerald,3x emerald
windswept_hills,1x raw_copper,1x raw_copper,3x coal,1x emerald,3x emerald,3x emerald
stony_shore,1x raw_copper,1x raw_copper,3x coal,1x emerald,3x emerald,3x emerald
savanna,2x apple,1x feather,2x white_wool,2x white_wool,1x saddle,1x sentry_armor_trim_smithing_template
savanna_plateau,2x apple,1x raw_copper,2x white_wool,2x white_wool,1x saddle,1x sentry_armor_trim_smithing_template
windswept_savanna,1x sandstone,1x stone,3x dirt,1x coal_ore,1x coal_ore,1x sentry_armor_trim_smithing_template
snowy_plains,3x sweet_berries,3x sweet_berries,3x snow_block,16x arrow,16x arrow,1x sentry_armor_trim_smithing_template
snowy_taiga,3x sweet_berries,3x sweet_berries,3x snow_block,16x arrow,16x arrow,1x sentry_armor_trim_smithing_template
mangrove_swamp,1x lily_pad,3x seagrass,2x slime_ball,1x pearlescent_froglight,3x verdant_froglight,3x verdant_froglight
swamp,1x lily_pad,3x clay_ball,2x slime_ball,1x ochre_froglight,3x verdant_froglight,3x verdant_froglight
deep_dark,1x sculk,1x candle,1x amethyst_shard,1x echo_shard,1x ward_armor_trim_smithing_template,1x silence_armor_trim_smithing_template
dripstone_caves,3x redstone,3x redstone,2x raw_iron,3x lapis_lazuli,1x diamond,1x diamond_ore
lush_caves,3x glow_berries,3x clay_ball,2x coal,2x raw_iron,1x raw_iron_block,1x diamond
